session_id,parent_session_id,agent,role,model_routes,gauntlet_objective_ids,objective_attribution_confidence,timestamp_start,timestamp_end,duration_ms,status,model_requests,prompt_tokens_processed,completion_tokens_estimate,turn_usage_input_tokens,turn_usage_output_tokens,turn_usage_total_tokens,turn_usage_cached_read_tokens,turn_usage_cache_creation_tokens,turn_usage_reasoning_tokens,turn_usage_model_calls,turn_usage_api_duration_ms,turn_usage_scope,tool_calls_emitted,provider_errors,tool_or_harness_errors,compactions_detected,context_peak_tokens,context_median_tokens,context_p95_tokens,source_path
019ffdda-1b40-7b90-91ae-cc7f3ad623b0,,orchestrator/mixed,parent/orchestrator,"[""deepseek-v4-flash-0731"",""grok-4.6""]","[""BOOTSTRAP-01"",""BOOTSTRAP-02"",""BOOTSTRAP-03"",""BOOTSTRAP-04"",""BOOTSTRAP-05"",""BOOTSTRAP-06"",""BOOTSTRAP-07"",""BOOTSTRAP-08"",""BOOTSTRAP-09"",""BOOTSTRAP-10"",""BOOTSTRAP-11"",""BOOTSTRAP-12"",""CAPABILITY-DESIGN-PROFILE"",""FOUNDATION-BROWSER"",""FOUNDATION-DETERMINISTIC"",""FOUNDATION-HARD"",""FOUNDATION-MUTANT-REDUCTION"",""FOUNDATION-ORACLES"",""FOUNDATION-PROMOTION"",""FOUNDATION-REGISTRIES"",""PLAYABLE-1V1-PROFILE"",""PLAYABLE-BASIC-PASS"",""PLAYABLE-BASIC-SHOT"",""PLAYABLE-BROWSER-1V1"",""PLAYABLE-CLOSE-CONTROL"",""PLAYABLE-DUELS-SUITE"",""PLAYABLE-ENGINE-DESIGN-RUNNER"",""PLAYABLE-FICTIONAL-ARCHETYPES"",""PLAYABLE-FIRST-TOUCH"",""PLAYABLE-MUTANT-1V1"",""PLAYABLE-PLAYER-DUEL"",""PLAYABLE-SECOND-SLOT"",""PLAYABLE-TOUCH-ACTIONS-SUITE""]",medium,2026-08-14T01:19:21.860Z,2026-08-15T05:33:38.875Z,,completed/closed,833,173408073,983495,388162768,3157200,391319968,366140928,0,1810600,5392,45733175,turn-level aggregate; not safely allocatable to individual request rows,1445,0,15,3,398163,210819,358508,~/.grok/sessions/<encoded-cwd>/019ffdda-1b40-7b90-91ae-cc7f3ad623b0/
019ffddb-9859-7833-b05f-476bad51ba1d,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,builder-qwen,builder,"[""qwen3.6""]","[""BOOTSTRAP-01""]",high,2026-08-14T01:20:55.486Z,2026-08-14T01:27:46.223Z,411370,completed,54,1548466,27717,1552472,15609,1568081,1286944,0,4721,54,298692,turn-level aggregate; not safely allocatable to individual request rows,71,0,7,0,46320,27776,45379,~/.grok/sessions/<encoded-cwd>/019ffddb-9859-7833-b05f-476bad51ba1d/
019ffde2-af12-7b11-ac82-0b42f8279188,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,critic,critic,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-01""]",high,2026-08-14T01:28:40.564Z,2026-08-14T01:32:03.408Z,203932,completed,15,282798,23118,279460,14186,293646,261504,0,8882,15,127068,turn-level aggregate; not safely allocatable to individual request rows,35,0,0,0,29732,18740,29732,~/.grok/sessions/<encoded-cwd>/019ffde2-af12-7b11-ac82-0b42f8279188/
019ffde6-0933-7670-81b0-0243f6df80be,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,integration-reviewer,integration reviewer,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-01""]",high,2026-08-14T01:32:19.818Z,2026-08-14T01:34:53.756Z,154623,completed,18,488710,22200,490197,11080,501277,459520,0,6916,18,120771,turn-level aggregate; not safely allocatable to individual request rows,35,0,0,0,38918,28637,38918,~/.grok/sessions/<encoded-cwd>/019ffde6-0933-7670-81b0-0243f6df80be/
019ffde9-e7b9-7fc3-8d67-cf0d43b8c628,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,git-committer,bookkeeping/committer,"[""grok-4.6""]","[""BOOTSTRAP-01""]",high,2026-08-14T01:36:33.204Z,2026-08-14T01:37:05.475Z,32792,completed,8,57234,4827,58426,1694,60120,38016,0,745,8,26761,turn-level aggregate; not safely allocatable to individual request rows,13,0,0,0,9286,7694,9286,~/.grok/sessions/<encoded-cwd>/019ffde9-e7b9-7fc3-8d67-cf0d43b8c628/
019ffdea-923c-7570-b744-560e6666ae93,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,git-committer,bookkeeping/committer,"[""grok-4.6""]","[""BOOTSTRAP-01""]",high,2026-08-14T01:37:16.871Z,2026-08-14T01:37:40.926Z,24572,completed,6,37230,4045,38706,1001,39707,27008,0,349,6,20252,turn-level aggregate; not safely allocatable to individual request rows,8,0,0,0,7495,6904,7495,~/.grok/sessions/<encoded-cwd>/019ffdea-923c-7570-b744-560e6666ae93/
019ffdeb-0707-73d3-be0e-33d1db61449f,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,builder-qwen,builder,"[""qwen3.6""]","[""BOOTSTRAP-01"",""BOOTSTRAP-02""]",high,2026-08-14T01:37:46.681Z,2026-08-14T01:45:42.519Z,476283,completed,38,2184261,64716,2183989,32699,2216688,2031024,0,2775,38,391065,turn-level aggregate; not safely allocatable to individual request rows,63,0,4,0,72760,62524,72445,~/.grok/sessions/<encoded-cwd>/019ffdeb-0707-73d3-be0e-33d1db61449f/
019ffdf2-c6c0-77e2-bc95-7fac1e26ab33,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,critic,critic,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-02""]",high,2026-08-14T01:46:14.615Z,2026-08-14T01:49:00.153Z,166053,completed,17,442359,33819,438836,11309,450145,404608,0,7123,17,127871,turn-level aggregate; not safely allocatable to individual request rows,39,0,0,0,50354,31310,50354,~/.grok/sessions/<encoded-cwd>/019ffdf2-c6c0-77e2-bc95-7fac1e26ab33/
019ffdf5-72bc-73b0-91ec-35a3d18d7952,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,integration-reviewer,integration reviewer,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-02""]",high,2026-08-14T01:49:09.607Z,2026-08-14T01:51:37.277Z,148095,completed,21,759101,40976,757048,9761,766809,707584,0,5397,21,113167,turn-level aggregate; not safely allocatable to individual request rows,42,0,0,0,57555,42477,55559,~/.grok/sessions/<encoded-cwd>/019ffdf5-72bc-73b0-91ec-35a3d18d7952/
019ffdf7-fbbb-7e71-8811-ba57858410b1,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,git-committer,bookkeeping/committer,"[""grok-4.6""]","[""BOOTSTRAP-02""]",high,2026-08-14T01:51:55.735Z,2026-08-14T01:52:38.780Z,43449,completed,9,112767,12534,112945,2382,115327,89344,0,976,9,36237,turn-level aggregate; not safely allocatable to individual request rows,23,0,0,0,17581,15620,17581,~/.grok/sessions/<encoded-cwd>/019ffdf7-fbbb-7e71-8811-ba57858410b1/
019ffdf9-1463-7163-aa8e-e6524548557f,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,git-committer,bookkeeping/committer,"[""grok-4.6""]","[""BOOTSTRAP-02""]",high,2026-08-14T01:53:08.067Z,2026-08-14T01:53:29.809Z,22641,completed,6,37194,4249,38597,1090,39687,26368,0,388,6,17498,turn-level aggregate; not safely allocatable to individual request rows,8,0,0,0,7630,6844,7630,~/.grok/sessions/<encoded-cwd>/019ffdf9-1463-7163-aa8e-e6524548557f/
019ffdf9-1466-7002-bd59-16d0711ad0a2,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,builder-qwen,builder,"[""qwen3.6""]","[""BOOTSTRAP-03""]",high,2026-08-14T01:53:08.082Z,2026-08-14T02:06:07.768Z,780589,completed,59,4507430,70736,4508299,38806,4547105,4011744,0,6400,59,619131,turn-level aggregate; not safely allocatable to individual request rows,81,0,8,0,101222,81412,100191,~/.grok/sessions/<encoded-cwd>/019ffdf9-1466-7002-bd59-16d0711ad0a2/
019ffe05-3d40-7380-9d24-31691ad1ad91,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,critic,critic,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-03""]",high,2026-08-14T02:06:24.504Z,2026-08-14T02:12:08.392Z,344346,completed,16,530150,43901,519138,24364,543502,496000,0,16523,16,231730,turn-level aggregate; not safely allocatable to individual request rows,30,0,2,0,48410,38970,48410,~/.grok/sessions/<encoded-cwd>/019ffe05-3d40-7380-9d24-31691ad1ad91/
019ffe0a-cfbe-73f2-b4c8-00db6fc1c63c,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,builder-qwen,builder,"[""qwen3.6""]","[""BOOTSTRAP-03""]",high,2026-08-14T02:12:29.807Z,2026-08-14T02:24:05.469Z,696229,completed,42,2040026,64329,2026534,40860,2067394,1750160,0,23646,42,603792,turn-level aggregate; not safely allocatable to individual request rows,47,0,0,1,61961,53359,60821,~/.grok/sessions/<encoded-cwd>/019ffe0a-cfbe-73f2-b4c8-00db6fc1c63c/
019ffe15-97c0-7840-8261-e4300c041b96,019ffdda-1b40-7b90-91ae-cc7f3ad623b0,critic,critic,"[""deepseek-v4-flash-0731""]","[""BOOTSTRAP-03""]",high,2026-08-14T02:24:16.522Z,2026-08-14T02:27:09.717Z,173942,completed,16,329893,25118,328529,11223,339752,307712,0,6285,16,122199,turn-level aggregate; not safely allocatable to individual request rows,26,0,2,0,34261,22208,34261,~/.grok/sessions/<encoded-cwd>/019ffe15-97c0-7840-8261-e4300c041b96/
